工艺研发工程师连云港碱业有限公司,化工
研发工程师（苏州）山东海科控股有限公司,医疗设备
采购助理实习生景德镇正业新能源科技有限公司,新能源
文案/编导实习生云南华美美莱美容医院有限公司,咨询服务
招聘实习生上海优族信息技术有限公司,人力资源咨询
就差一个你啦，招大学生院校代理！！武汉市度域信创电子商务有限公司,电子商务
化妆品新品数据实习生（英语方向）广州新数智能科技有限公司,化妆品
昆明铁路局接待岗云南翔联航空服务有限责任公司,物流运输
纺织工艺管理江苏大达麻纺织科技有限公司,纺织服装
直播运营助理北京微生活电子商务有限公司,电子商务
工程部专职四川水发勘测设计研究有限公司,建筑工程
热能动力工程师南京苏夏设计集团股份有限公司,热能动力
管培生吉客印（郑州）数字科技有限公司,IT软件
版图设计工程师上海合见工业软件集团有限公司,IT软件
质量工程师苏州英维克温控技术有限公司,质量控制
MarketingIntern赛诺菲(中国)投资有限公司上海分公司,医药
进出口实习生美伊电钢（常州）机械有限公司,贸易
图书直播实习生深圳市海讯教育科技有限公司,教育培训
对话NLU实习生北京世纪好未来教育科技有限公司,IT软件
后端开发工程师灵长智能科技（杭州）有限公司,IT软件
教育产品销售上海声阅智能科技有限公司,教育培训
教师成都极客未来教育科技有限公司,教育培训
银行信用卡客服专员广东信天下经济信息咨询有限公司成都分公司,金融投资
人力资源专员/助理申通快递有限公司,物流运输
生鲜客户经理牧原食品股份有限公司,快消
营销管培生重庆觉晓科技有限公司,IT软件
售后支持顾问（24届校招）深圳市领星网络科技有限公司,IT软件
新媒体运营实习生光合新知（北京）信息技术有限公司,媒体
猎头实习生北京烁程企业管理顾问有限公司,人力资源咨询
销售人员-邢台杭银消费金融股份有限公司,金融投资
抖音后台运营助理成都世纪天语科技有限公司,互联网
这里招实习生可小白~共进科技（金华）有限公司,电子商务
新媒体运营实习生宁波激智科技股份有限公司,媒体
测试工程师（ATE）新新人力,IT硬件
字节跳动文职大连金慧融智科技股份有限公司,媒体
百匠新人-招商岗(义乌)华润置地2024届校园招聘,房地产
计算机视觉算法实习生纽劢科技（上海）有限公司,IT软件
外贸业务员江苏正恒轻工机械有限公司,贸易
设计师助理圣都家居装饰有限公司,室内装潢
软件项目经理北京数字政通科技股份有限公司,IT软件
腐蚀检测工程师天津朗朔科技有限公司,化工
初级电力电子工程师北京爱博精电科技有限公司,电子技术
初中各科教师南京金地未来学校,教育培训
法务实习生北京五八到家信息技术集团有限公司,法律服务
采购员双胞胎(集团)股份有限公司,物流运输
档案扫描人员山东山大鸥玛软件股份有限公司,IT软件
人力资源实习生（规模900+人/大公司）北京赛优职教育科技有限公司,教育培训
风控治理实习生-商业化安全北京字跳网络技术有限公司,互联网
品管员/人才储备福建长德蛋白科技有限公司,加工制造
1青岛市黄岛区人力资源和社会保障局,政府机构
销售助理光明,快消
招标实习生苏州中化药品工业有限公司,医药
设备设计师云南化工设计院有限公司,石油化工
自动化电控工程师（深圳）新新人力,IT硬件
sap实习生(长期培养)北方智企（山东）科技创新有限公司,IT软件
公司法务上海海隆软件股份有限公司,法律服务
电商运营美豪音乐集团有限公司,媒体
文职实习岗底薪3200/包住安徽栢安好胜信息科技有限公司,IT软件
财务实习生龙湖物业服务集团有限公司,物业管理
助理工业设计工程师（苏州）欧圣电气2024,加工制造
视频运营实习生北京易点淘网络技术有限公司,互联网
杭州大学生幼教家教兼职杭州科匠信息科技有限公司,教育培训
汽车电子测试工程师（广州）新新人力,汽车
质量管理绍兴市安吉尔净饮水科技有限公司,环保
质量工程师江阴市羽项汽车饰件有限公司,汽车
IP验证工程师象帝先计算2024,IT硬件
CPB-TrainingIntern资生堂(中国)投资有限公司,医疗保健
养殖生产管培生唐人神集团股份有限公司,农业
市场营销（2024届校招）（长沙）中建西部建设校招,咨询服务
直播运营实习生作业帮教育科技（北京）有限公司,互联网
客服义乌市冷影文化用品有限公司,快消
市场推广江苏宏大投资有限公司,咨询服务
音乐舞蹈教师吉安长田学校,教育培训
人力资源实习生广东美的制冷设备有限公司,物业管理
外呼专员黑岩网络科技（上海）有限公司,互联网
平面设计师久盛地板有限公司,室内装潢
配方工程师青岛泰凯英专用轮胎股份有限公司,加工制造
（实习）品牌推广中心共青团长沙市委,政府机构
内容产品实习生欣欣相融教育科技（北京）有限公司,教育培训
算法研发岗（音频音效）歌尔股份有限公司,IT软件
行政助理浙江江山欣欣饲料有限公司,农业
会员运营实习生深圳市瞳学科技有限公司,互联网
市场专员无锡海斯凯尔医学技术有限公司,医疗设备
货代单证宁波达倍国际物流有限公司,物流运输
海外市场实习生上海已观科技有限公司,互联网
安卓工程师江苏文武时代教育科技有限公司,IT软件
互联网产品经理大参林医药集团股份有限公司,医药
项目执行助理广东东方麦田工业设计股份有限公司,咨询服务
