id,专业名,人数,需求人数,薪资水平,行业情况,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,临床药学,2750,2750,148789.4863,教育培训:1.4499999582767487,房地产:1.3299999758601189,媒体:0.42366646230220795,快消:1.2199999764561653,咨询服务:0.35806787200272083,物流运输:0.34729784820228815,互联网:0.7499999832361937,石油化工:0.5719367880374193,金融投资:0.551592605188489,医疗保健:13.330000638961792,医药:67.5499975681305,医疗设备:2.9899999499320984,批发零售:2.329999953508377,服装:0.3437371226027608,农业:0.48626200295984745,物业管理:0.08562336442992091,汽车:0.41868891566991806,采掘冶炼:0.4447641782462597,保险:0.15986831858754158,认证检验:0.2899999963119626,机械重工:0.6278200075030327,IT软件:0.39867889136075974,贸易:0.441620172932744,餐饮娱乐:0.23329397663474083,加工制造:0.428265705704689,电子技术:0.5571032874286175,电信运营:0.17252579564228654,娱乐:0.08742655627429485,广告:0.14300748007372022,休闲度假:0.09874049574136734,会计审计:0.039177449070848525,系统集成:0.15148845268413424,电信设备:0.21413385402411222,IT硬件:0.07073942688293755,自动化:0.13295719400048256,家具家电:0.024579933960922062,室内装潢:0.039056537207216024,环保:0.15187175013124943,电力水利:0.19049402326345444,印刷造纸:0.07451425772160292,中介服务:0.03399192646611482,网络游戏:0.02106062020175159,航天航空:0.19613765180110931,办公用品:0.0025467270461376756,礼品:0.02539698325563222,生活服务:0.0031850478990236297,新能源:0.008682141924509779
12,交通工程,8500,8500,122584.1606,教育培训:3.7700001150369644,房地产:40.14999866485596,媒体:1.0691074654459953,快消:1.6596021130681038,咨询服务:0.9035578928887844,物流运输:8.410000056028366,互联网:2.449999935925007,石油化工:1.4432955533266068,金融投资:1.3899999670684338,医疗保健:1.6623357310891151,医药:2.248119004070759,医疗设备:0.6544933188706636,批发零售:0.6836579646915197,服装:0.8674198761582375,农业:1.2270424515008926,物业管理:0.2160636940971017,汽车:15.74999988079071,采掘冶炼:1.1223669163882732,保险:1.4800000004470348,认证检验:0.17480949172750115,机械重工:2.03000009059906,IT软件:1.7000000923871994,贸易:1.1145014315843582,餐饮娱乐:0.5887051578611135,加工制造:1.080689299851656,电子技术:1.4058140106499195,电信运营:0.4353652708232403,娱乐:0.22060396149754524,广告:0.3608650295063853,休闲度假:0.24918229319155216,会计审计:0.09885844774544239,系统集成:0.3822761122137308,电信设备:0.5403539165854454,IT硬件:0.17850694712251425,自动化:0.3355094697326422,家具家电:0.062025850638747215,室内装潢:0.09855611715465784,环保:0.38324438501149416,电力水利:0.4806996323168278,印刷造纸:0.18803479615598917,中介服务:0.0857751292642206,网络游戏:0.05314564914442599,航天航空:0.4949428606778383,办公用品:0.00642648374196142,礼品:0.06408802000805736,生活服务:0.008037319639697671,新能源:0.021909124916419387
13,交通管理,950,950,134832.9215,教育培训:3.3399999141693115,房地产:2.7300000190734863,媒体:0.90072276070714,快消:1.3982119970023632,咨询服务:0.3800000064074993,物流运输:59.65999960899353,互联网:4.490000009536743,石油化工:1.215997338294983,金融投资:0.7199999876320362,医疗保健:1.400502398610115,医药:1.8940214067697525,医疗设备:0.5514083430171013,批发零售:0.5759757943451405,服装:0.73080831207335,农业:1.0337687097489834,物业管理:0.18203118816018105,汽车:2.8300000354647636,采掘冶炼:0.9456068277359009,保险:0.009999999747378752,认证检验:0.14727636007592082,机械重工:1.334737241268158,IT软件:0.8475913666188717,贸易:6.08999989926815,餐饮娱乐:0.4959814250469208,加工制造:0.910465233027935,电子技术:1.1843875981867313,电信运营:0.36679666955024004,娱乐:0.18585004145279527,广告:0.3040228271856904,休闲度假:0.20994499791413546,会计审计:0.08328540716320276,系统集成:0.32206771429628134,电信设备:0.4552447237074375,IT硬件:0.1503910985775292,自动化:0.28266457375139,家具家电:0.05225628847256303,室内装潢:0.08303244248963892,环保:0.3228842047974467,电力水利:0.4049859941005707,印刷造纸:0.1584197161719203,中介服务:0.07226407178677619,网络游戏:0.04477514885365963,航天航空:0.416986970230937,办公用品:0.0054142536100698635,礼品:0.05399390938691795,生活服务:0.0067714172473642975,新能源:0.01845846272772178
14,交通运输,13000,13000,132456.7946,教育培训:4.349999874830246,房地产:6.7100003361701965,媒体:1.3194004073739052,快消:2.04812865704298,咨询服务:1.1150671169161797,物流运输:25.139999389648438,互联网:4.100000113248825,石油化工:1.781272329390049,金融投资:2.6200000196695328,医疗保健:2.0514534786343575,医药:2.7743633836507797,医疗设备:0.8077109232544899,批发零售:0.8436890318989754,服装:1.0705227963626385,农业:1.5142552554607391,物业管理:0.2666378393769264,汽车:20.440000295639038,采掘冶炼:1.3851785100996494,保险:2.1400000900030136,认证检验:0.2157324692234397,机械重工:4.569999873638153,IT软件:1.2415551580488682,贸易:1.8400000408291817,餐饮娱乐:0.7265195250511169,加工制造:1.3336344622075558,电子技术:1.7348941415548325,电信运营:0.5372963845729828,娱乐:0.2722166245803237,广告:0.4453258588910103,休闲度假:0.30755402985960245,会计审计:0.12199169723317027,系统集成:0.47177295200526714,电信设备:0.6668454501777887,IT硬件:0.2202942268922925,自动化:0.4140488337725401,家具家电:0.07654514047317207,室内装潢:0.12162536149844527,环保:0.4729706794023514,电力水利:0.5932251457124949,印刷造纸:0.232058041729033,中介服务:0.10585067793726921,网络游戏:0.06558759487234056,航天航空:0.6108070258051157,办公用品:0.007930790161481127,礼品:0.07909100968390703,生活服务:0.009918878640746698,新能源:0.027038462576456368
15,人力资源管理,39000,39000,135444.8572,教育培训:6.9131724536418915,房地产:9.200000017881393,媒体:2.278663218021393,快消:6.930000334978104,咨询服务:1.9256848841905594,物流运输:1.8680337816476822,互联网:4.720000177621841,石油化工:3.0765408650040627,金融投资:1.9899999722838402,医疗保健:3.5428036004304886,医药:4.791266471147537,医疗设备:1.394931599497795,批发零售:4.729999974370003,服装:5.499999970197678,农业:2.6150472462177277,物业管理:0.46047186478972435,汽车:2.2518740966916084,采掘冶炼:2.3923898115754128,保险:0.8597659878432751,认证检验:0.3725736169144511,机械重工:3.3764388412237167,IT软件:2.1441522985696793,贸易:2.375931851565838,餐饮娱乐:5.849999934434891,加工制造:5.700000002980232,电子技术:2.6200000196695328,电信运营:0.9279499761760235,娱乐:0.47004539519548416,广告:0.7690404541790485,休闲度假:0.5312466993927956,会计审计:0.21065755281597376,系统集成:0.814774539321661,电信设备:1.1516389437019825,IT硬件:0.3804484847933054,自动化:0.7150602526962757,家具家电:0.1321922172792256,室内装潢:0.21004211157560349,环保:0.8168499916791916,电力水利:1.0244936682283878,印刷造纸:0.4007788375020027,中介服务:0.18279470968991518,网络游戏:0.11327221291139722,航天航空:1.0548684746026993,办公用品:0.013696274254471064,礼品:0.13659143587574363,生活服务:0.017130114429164678,新能源:0.04669688350986689
16,人文教育,550,550,143092.2287,教育培训:40.720000863075256,房地产:4.610000178217888,媒体:2.459999918937683,快消:2.1400000900030136,咨询服务:1.3168620876967907,物流运输:2.8200000524520874,互联网:4.969999939203262,石油化工:2.1040135994553566,金融投资:5.040000006556511,医疗保健:2.422717958688736,医药:3.2764773815870285,医疗设备:0.9539292193949223,批发零售:0.9965005330741405,服装:1.2644716538488865,农业:1.7882665619254112,物业管理:0.31488819513469934,汽车:1.539945974946022,采掘冶炼:1.636115275323391,保险:0.5879300180822611,认证检验:0.25478575844317675,机械重工:2.3089343681931496,IT软件:1.4662708155810833,贸易:2.3499999195337296,餐饮娱乐:0.8581542409956455,加工制造:2.8300000354647636,电子技术:2.0489925518631935,电信运营:0.6345947738736868,娱乐:0.32140843104571104,广告:0.5258914083242416,休闲度假:0.3633366897702217,会计审计:0.14404829125851393,系统集成:0.5571927409619093,电信设备:0.7875458337366581,IT硬件:0.26016952469944954,自动化:0.4889924079179764,家具家电:0.09039898286573589,室内装潢:0.14363500522449613,环保:0.5586151499301195,电力水利:0.7005964405834675,印刷造纸:0.2740785712376237,中介服务:0.12499986914917827,网络游戏:0.07746217888779938,航天航空:0.7213729433715343,办公用品:0.009366097947349772,礼品:0.09340849937871099,生活服务:0.011714504944393411,新能源:0.031934259459376335
17,人类学,125,125,143937.1992,教育培训:11.59999966621399,房地产:3.240000084042549,媒体:6.449999660253525,快消:7.0500001311302185,咨询服务:2.940000034868717,物流运输:1.7294824123382568,互联网:7.46999979019165,石油化工:2.8485706076025963,金融投资:2.7463069185614586,医疗保健:3.2797273248434067,医药:4.435508698225021,医疗设备:1.2914026156067848,批发零售:1.3490047305822372,服装:5.2400000393390656,农业:2.420821040868759,物业管理:4.740000143647194,汽车:2.0847229287028313,采掘冶炼:2.2150663658976555,保险:0.795875396579504,认证检验:0.34492164850234985,机械重工:3.125661239027977,IT软件:1.9849656149744987,贸易:2.2000864148139954,餐饮娱乐:1.161741092801094,加工制造:2.132325619459152,电子技术:2.773820422589779,电信运营:3.840000182390213,娱乐:0.43504759669303894,广告:0.7118983659893274,休闲度假:0.4919570405036211,会计审计:0.1949876663275063,系统集成:0.7543241139501333,电信设备:1.0661442764103413,IT硬件:0.35220703575760126,自动化:0.6619760766625404,家具家电:0.12237734626978636,室内装潢:0.19444305216893554,环保:0.7562559563666582,电力水利:0.9484336711466312,印刷造纸:0.3710488323122263,中介服务:0.16921162605285645,网络游戏:0.10486720129847527,航天航空:0.9765690192580223,办公用品:0.012679272913374007,礼品:0.12645371025428176,生活服务:0.0158587921760045,新能源:0.04323252942413092
18,休闲体育,5500,5500,136190.7247,教育培训:38.71000111103058,房地产:1.6877034679055214,媒体:2.500000037252903,快消:0.7343772333115339,咨询服务:0.3997710533440113,物流运输:0.3878311486914754,互联网:0.9999999776482582,石油化工:0.6387855857610703,金融投资:3.370000049471855,医疗保健:0.7354584522545338,医药:0.9946359321475029,医疗设备:0.2895902609452605,批发零售:1.2400000356137753,服装:2.5100000202655792,农业:0.542853120714426,物业管理:0.09560860926285386,汽车:0.4674877040088177,采掘冶炼:0.4967226181179285,保险:0.17846900736913085,认证检验:0.07734688115306199,机械重工:0.7009088061749935,IT软件:0.44511696323752403,贸易:0.49337767995893955,餐饮娱乐:5.3199999034404755,加工制造:0.4781590308994055,电子技术:0.6220127921551466,电信运营:0.19266052404418588,娱乐:29.440000653266907,广告:3.5999998450279236,休闲度假:0.11032206239178777,会计审计:0.04372413386590779,系统集成:0.16915370943024755,电信设备:0.239076791331172,IT硬件:0.07898045587353408,自动化:0.14844434335827827,家具家电:0.027442388818599284,室内装潢:0.04360259626992047,环保:0.16958717023953795,电力水利:0.21268073469400406,印刷造纸:0.08320611668750644,中介服务:0.037944442010484636,网络游戏:0.02351596631342545,航天航空:0.21899028215557337,办公用品:0.0028432492399588227,礼品:0.028356577968224883,生活服务:0.003556252340786159,新能源:0.009694700565887615
19,会展经济与管理,6500,6500,136627.5005,教育培训:5.590000003576279,房地产:4.549999907612801,媒体:3.539999946951866,快消:4.960000142455101,咨询服务:1.3297013938426971,物流运输:1.2900476343929768,互联网:7.599999755620956,石油化工:2.1248260512948036,金融投资:3.709999844431877,医疗保健:2.4462535977363586,医药:3.308326378464699,医疗设备:0.963237602263689,批发零售:1.006193459033966,服装:1.2768984772264957,农业:1.8056068569421768,物业管理:0.318008242174983,汽车:1.5549561008810997,采掘冶炼:1.6522621735930443,保险:0.5936047527939081,认证检验:0.2572717610746622,机械重工:2.3313218727707863,IT软件:1.480538584291935,贸易:1.6412895172834396,餐饮娱乐:2.84000001847744,加工制造:1.5904147177934647,电子技术:2.0689236000180244,电信运营:0.6408398505300283,娱乐:0.3244976978749037,广告:25.060001015663147,休闲度假:7.020000368356705,会计审计:0.1454266719520092,系统集成:0.5626456812024117,电信设备:0.7952135987579823,IT硬件:0.26270414236932993,自动化:0.4937533289194107,家具家电:0.09127814555540681,室内装潢:0.1450287876650691,环保:0.5640901159495115,电力水利:0.7074144203215837,印刷造纸:0.2767646452412009,中介服务:0.12620697962120175,网络游戏:0.07821947219781578,航天航空:0.7284050341695547,办公用品:0.009457118721911684,礼品:0.09431985090486705,生活服务:0.011828845890704542,新能源:0.03224694519303739
20,会计学,100000,100000,135493.4978,教育培训:6.457475572824478,房地产:11.699999868869781,媒体:2.128179185092449,快消:4.650000110268593,咨询服务:6.81999996304512,物流运输:1.7448192462325096,互联网:2.748347260057926,石油化工:2.873934805393219,金融投资:5.310000106692314,医疗保健:3.308355063199997,医药:4.474252462387085,医疗设备:1.3027306646108627,批发零售:6.960000097751617,服装:1.727025955915451,农业:2.441910281777382,物业管理:0.4300766624510288,汽车:2.7000000700354576,采掘冶炼:2.2347403690218925,保险:0.8027734234929085,认证检验:0.3479471430182457,机械重工:5.779999867081642,IT软件:2.0023243501782417,贸易:2.220255322754383,餐饮娱乐:1.1719551868736744,加工制造:2.810000069439411,电子技术:2.798067405819893,电信运营:0.8667291142046452,娱乐:0.43880208395421505,广告:0.7182784844189882,休闲度假:0.4964143969118595,会计审计:2.800000086426735,系统集成:0.7609622552990913,电信设备:1.0754737071692944,IT硬件:0.3552910638973117,自动化:0.6677686236798763,家具家电:0.12344687711447477,室内装潢:0.19613837357610464,环保:0.7629221305251122,电力水利:0.9567291475832462,印刷造纸:0.37431931123137474,中介服务:0.1706790761090815,网络游戏:0.10578904766589403,航天航空:0.9851261042058468,办公用品:0.012790004257112741,礼品:0.12756286887452006,生活服务:0.015997944865375757,新能源:0.043613187153823674
